,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
18,$AAPL so far opened on highs fading into the gap. Profit taking. Pre-earnings run started at $142 https://t.co/DkYayfKhqK,FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TraderMichigan,0,FALSE,FALSE,,
19,Are you Bullish or Bearish on #Apple? Start #Trading $AAPL with #Bitcoiní ½í¸ $QQQ #Stocks #Blockchain  #Cryptocurrencyâ¦ https://t.co/wiMWKdks4l,FALSE,0,,02-08-2017 14:24,TRUE,,8.92753E+17,,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>",ElixiumCrypto,0,FALSE,FALSE,,
20,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Okt1uspi,703,TRUE,FALSE,,
21,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams í ¼í¿
NBA teams í ¼í¿
MLB teams â¾ï¸
NHL teams í ¼í¿

and still have $75Bâ¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",seyitaylor,323,TRUE,FALSE,,
22,"RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",TradersCom,24,TRUE,FALSE,,
23,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DishonouredlofW,703,TRUE,FALSE,,
24,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cbgossnile,703,TRUE,FALSE,,
25,"$AAPL Boom full target hit netted out $2.00 on day trade shorts and $10,50 over night calls. $12.50 in less than ... https://t.co/rGx8bNDQ43",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",StevePTrading,0,FALSE,FALSE,,
26,$AAPL below previous ATH,FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",IncomeDisparity,0,FALSE,FALSE,,
27,$AAPL coming into a nice support level at previous all time highs. Watch it https://t.co/Lt3VEWjVHr,FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Trading_Analyst,0,FALSE,FALSE,,
28,"RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the companyâs delivery schedule. https://t.co/â¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BVZ_Investools,2,TRUE,FALSE,,
29,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams í ¼í¿
NBA teams í ¼í¿
MLB teams â¾ï¸
NHL teams í ¼í¿

and still have $75Bâ¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ValaAfshar,323,TRUE,FALSE,,
30,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MrAndersoANTn,703,TRUE,FALSE,,
31,$AAPL now below last ATH,FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Trading4_Living,0,FALSE,FALSE,,
32,"Its early in the day, but $AAPL is struggling to hold the breakout. $DJI hit 22K but all the gain over past week haâ¦ https://t.co/gPACpT5dMi",FALSE,0,,02-08-2017 14:23,TRUE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",argoexp,0,FALSE,FALSE,,
